date,category,product,units
2024-06-03,Electronics,EL-Headphones,371
2024-06-10,Electronics,EL-Headphones,471
2024-06-17,Electronics,EL-Headphones,381
2024-06-24,Electronics,EL-Headphones,440
2024-07-01,Electronics,EL-Headphones,397
2024-07-08,Electronics,EL-Headphones,417
2024-07-15,Electronics,EL-Headphones,458
2024-07-22,Electronics,EL-Headphones,431
2024-07-29,Electronics,EL-Headphones,416
2024-08-05,Electronics,EL-Headphones,384
2024-08-12,Electronics,EL-Headphones,402
2024-08-19,Electronics,EL-Headphones,382
2024-08-26,Electronics,EL-Headphones,509
2024-09-02,Electronics,EL-Headphones,394
2024-09-09,Electronics,EL-Headphones,366
2024-09-16,Electronics,EL-Headphones,530
2024-09-23,Electronics,EL-Headphones,529
2024-09-30,Electronics,EL-Headphones,478
2024-10-07,Electronics,EL-Headphones,538
2024-10-14,Electronics,EL-Headphones,483
2024-10-21,Electronics,EL-Headphones,504
2024-10-28,Electronics,EL-Headphones,561
2024-11-04,Electronics,EL-Headphones,567
2024-11-11,Electronics,EL-Headphones,540
2024-11-18,Electronics,EL-Headphones,643
2024-11-25,Electronics,EL-Headphones,613
2024-12-02,Electronics,EL-Headphones,594
2024-12-09,Electronics,EL-Headphones,538
2024-12-16,Electronics,EL-Headphones,606
2024-12-23,Electronics,EL-Headphones,589
2024-12-30,Electronics,EL-Headphones,603
2025-01-06,Electronics,EL-Headphones,647
2025-01-13,Electronics,EL-Headphones,581
2025-01-20,Electronics,EL-Headphones,621
2025-01-27,Electronics,EL-Headphones,644
2025-02-03,Electronics,EL-Headphones,619
2025-02-10,Electronics,EL-Headphones,706
2025-02-17,Electronics,EL-Headphones,510
2025-02-24,Electronics,EL-Headphones,582
2025-03-03,Electronics,EL-Headphones,523
2025-03-10,Electronics,EL-Headphones,565
2025-03-17,Electronics,EL-Headphones,669
2025-03-24,Electronics,EL-Headphones,477
2025-03-31,Electronics,EL-Headphones,526
2025-04-07,Electronics,EL-Headphones,555
2025-04-14,Electronics,EL-Headphones,521
2025-04-21,Electronics,EL-Headphones,543
2025-04-28,Electronics,EL-Headphones,435
2025-05-05,Electronics,EL-Headphones,524
2025-05-12,Electronics,EL-Headphones,441
2025-05-19,Electronics,EL-Headphones,424
2025-05-26,Electronics,EL-Headphones,483
2025-06-02,Electronics,EL-Headphones,473
2025-06-09,Electronics,EL-Headphones,424
2025-06-16,Electronics,EL-Headphones,417
2025-06-23,Electronics,EL-Headphones,436
2025-06-30,Electronics,EL-Headphones,442
2025-07-07,Electronics,EL-Headphones,436
2025-07-14,Electronics,EL-Headphones,408
2025-07-21,Electronics,EL-Headphones,364
2025-07-28,Electronics,EL-Headphones,497
2025-08-04,Electronics,EL-Headphones,462
2025-08-11,Electronics,EL-Headphones,417
2025-08-18,Electronics,EL-Headphones,412
2025-08-25,Electronics,EL-Headphones,454
2025-09-01,Electronics,EL-Headphones,474
2025-09-08,Electronics,EL-Headphones,417
2025-09-15,Electronics,EL-Headphones,570
2025-09-22,Electronics,EL-Headphones,543
2025-09-29,Electronics,EL-Headphones,524
2025-10-06,Electronics,EL-Headphones,566
2025-10-13,Electronics,EL-Headphones,574
2025-10-20,Electronics,EL-Headphones,625
2025-10-27,Electronics,EL-Headphones,596
2025-11-03,Electronics,EL-Headphones,661
2025-11-10,Electronics,EL-Headphones,687
2025-11-17,Electronics,EL-Headphones,607
2025-11-24,Electronics,EL-Headphones,609
2025-12-01,Electronics,EL-Headphones,595
2025-12-08,Electronics,EL-Headphones,636
2025-12-15,Electronics,EL-Headphones,616
2025-12-22,Electronics,EL-Headphones,659
2023-01-02,Electronics,EL-Laptops,327
2023-01-09,Electronics,EL-Laptops,336
2023-01-16,Electronics,EL-Laptops,284
2023-01-23,Electronics,EL-Laptops,356
2023-01-30,Electronics,EL-Laptops,311
2023-02-06,Electronics,EL-Laptops,316
2023-02-13,Electronics,EL-Laptops,301
2023-02-20,Electronics,EL-Laptops,252
2023-02-27,Electronics,EL-Laptops,319
2023-03-06,Electronics,EL-Laptops,253
2023-03-13,Electronics,EL-Laptops,336
2023-03-20,Electronics,EL-Laptops,299
2023-03-27,Electronics,EL-Laptops,337
2023-04-03,Electronics,EL-Laptops,304
2023-04-10,Electronics,EL-Laptops,300
2023-04-17,Electronics,EL-Laptops,312
2023-04-24,Electronics,EL-Laptops,267
2023-05-01,Electronics,EL-Laptops,302
2023-05-08,Electronics,EL-Laptops,253
2023-05-15,Electronics,EL-Laptops,258
2023-05-22,Electronics,EL-Laptops,230
2023-05-29,Electronics,EL-Laptops,255
2023-06-05,Electronics,EL-Laptops,254
2023-06-12,Electronics,EL-Laptops,224
2023-06-19,Electronics,EL-Laptops,204
2023-06-26,Electronics,EL-Laptops,231
2023-07-03,Electronics,EL-Laptops,242
2023-07-10,Electronics,EL-Laptops,229
2023-07-17,Electronics,EL-Laptops,211
2023-07-24,Electronics,EL-Laptops,220
2023-07-31,Electronics,EL-Laptops,234
2023-08-07,Electronics,EL-Laptops,181
2023-08-14,Electronics,EL-Laptops,235
2023-08-21,Electronics,EL-Laptops,293
2023-08-28,Electronics,EL-Laptops,229
2023-09-04,Electronics,EL-Laptops,265
2023-09-11,Electronics,EL-Laptops,326
2023-09-18,Electronics,EL-Laptops,308
2023-09-25,Electronics,EL-Laptops,324
2023-10-02,Electronics,EL-Laptops,302
2023-10-09,Electronics,EL-Laptops,275
2023-10-16,Electronics,EL-Laptops,419
2023-10-23,Electronics,EL-Laptops,346
2023-10-30,Electronics,EL-Laptops,354
2023-11-06,Electronics,EL-Laptops,413
2023-11-13,Electronics,EL-Laptops,393
2023-11-20,Electronics,EL-Laptops,374
2023-11-27,Electronics,EL-Laptops,338
2023-12-04,Electronics,EL-Laptops,381
2023-12-11,Electronics,EL-Laptops,387
2023-12-18,Electronics,EL-Laptops,371
2023-12-25,Electronics,EL-Laptops,368
2024-01-01,Electronics,EL-Laptops,365
2024-01-08,Electronics,EL-Laptops,403
2024-01-15,Electronics,EL-Laptops,385
2024-01-22,Electronics,EL-Laptops,426
2024-01-29,Electronics,EL-Laptops,450
2024-02-05,Electronics,EL-Laptops,419
2024-02-12,Electronics,EL-Laptops,404
2024-02-19,Electronics,EL-Laptops,461
2024-02-26,Electronics,EL-Laptops,420
2024-03-04,Electronics,EL-Laptops,332
2024-03-11,Electronics,EL-Laptops,355
2024-03-18,Electronics,EL-Laptops,383
2024-03-25,Electronics,EL-Laptops,336
2024-04-01,Electronics,EL-Laptops,388
2024-04-08,Electronics,EL-Laptops,291
2024-04-15,Electronics,EL-Laptops,279
2024-04-22,Electronics,EL-Laptops,370
2024-04-29,Electronics,EL-Laptops,348
2024-05-06,Electronics,EL-Laptops,270
2024-05-13,Electronics,EL-Laptops,317
2024-05-20,Electronics,EL-Laptops,350
2024-05-27,Electronics,EL-Laptops,269
2024-06-03,Electronics,EL-Laptops,263
2024-06-10,Electronics,EL-Laptops,258
2024-06-17,Electronics,EL-Laptops,263
2024-06-24,Electronics,EL-Laptops,239
2024-07-01,Electronics,EL-Laptops,275
2024-07-08,Electronics,EL-Laptops,247
2024-07-15,Electronics,EL-Laptops,293
2024-07-22,Electronics,EL-Laptops,359
2024-07-29,Electronics,EL-Laptops,267
2024-08-05,Electronics,EL-Laptops,330
2024-08-12,Electronics,EL-Laptops,345
2024-08-19,Electronics,EL-Laptops,244
2024-08-26,Electronics,EL-Laptops,329
2024-09-02,Electronics,EL-Laptops,334
2024-09-09,Electronics,EL-Laptops,333
2024-09-16,Electronics,EL-Laptops,383
2024-09-23,Electronics,EL-Laptops,350
2024-09-30,Electronics,EL-Laptops,390
2024-10-07,Electronics,EL-Laptops,374
2024-10-14,Electronics,EL-Laptops,395
2024-10-21,Electronics,EL-Laptops,380
2024-10-28,Electronics,EL-Laptops,520
2024-11-04,Electronics,EL-Laptops,432
2024-11-11,Electronics,EL-Laptops,396
2024-11-18,Electronics,EL-Laptops,544
2024-11-25,Electronics,EL-Laptops,537
2024-12-02,Electronics,EL-Laptops,463
2024-12-09,Electronics,EL-Laptops,448
2024-12-16,Electronics,EL-Laptops,450
2024-12-23,Electronics,EL-Laptops,551
2024-12-30,Electronics,EL-Laptops,478
2025-01-06,Electronics,EL-Laptops,461
2025-01-13,Electronics,EL-Laptops,539
2025-01-20,Electronics,EL-Laptops,484
2025-01-27,Electronics,EL-Laptops,493
2025-02-03,Electronics,EL-Laptops,588
2025-02-10,Electronics,EL-Laptops,531
2025-02-17,Electronics,EL-Laptops,544
2025-02-24,Electronics,EL-Laptops,498
2025-03-03,Electronics,EL-Laptops,531
2025-03-10,Electronics,EL-Laptops,455
2025-03-17,Electronics,EL-Laptops,497
2025-03-24,Electronics,EL-Laptops,491
2025-03-31,Electronics,EL-Laptops,417
2025-04-07,Electronics,EL-Laptops,371
2025-04-14,Electronics,EL-Laptops,438
2025-04-21,Electronics,EL-Laptops,401
2025-04-28,Electronics,EL-Laptops,420
2025-05-05,Electronics,EL-Laptops,364
2025-05-12,Electronics,EL-Laptops,398
2025-05-19,Electronics,EL-Laptops,406
2025-05-26,Electronics,EL-Laptops,449
2025-06-02,Electronics,EL-Laptops,421
2025-06-09,Electronics,EL-Laptops,366
2025-06-16,Electronics,EL-Laptops,399
2025-06-23,Electronics,EL-Laptops,325
2025-06-30,Electronics,EL-Laptops,386
2025-07-07,Electronics,EL-Laptops,351
2025-07-14,Electronics,EL-Laptops,394
2025-07-21,Electronics,EL-Laptops,363
2025-07-28,Electronics,EL-Laptops,347
2025-08-04,Electronics,EL-Laptops,336
2025-08-11,Electronics,EL-Laptops,415
2025-08-18,Electronics,EL-Laptops,380
2025-08-25,Electronics,EL-Laptops,415
2025-09-01,Electronics,EL-Laptops,417
2025-09-08,Electronics,EL-Laptops,326
2025-09-15,Electronics,EL-Laptops,447
2025-09-22,Electronics,EL-Laptops,419
2025-09-29,Electronics,EL-Laptops,466
2025-10-06,Electronics,EL-Laptops,484
2025-10-13,Electronics,EL-Laptops,390
2025-10-20,Electronics,EL-Laptops,474
2025-10-27,Electronics,EL-Laptops,499
2025-11-03,Electronics,EL-Laptops,535
2025-11-10,Electronics,EL-Laptops,577
2025-11-17,Electronics,EL-Laptops,502
2025-11-24,Electronics,EL-Laptops,536
2025-12-01,Electronics,EL-Laptops,593
2025-12-08,Electronics,EL-Laptops,463
2025-12-15,Electronics,EL-Laptops,679
2025-12-22,Electronics,EL-Laptops,524
2023-01-02,Electronics,EL-Smartwatches,270
2023-01-09,Electronics,EL-Smartwatches,240
2023-01-16,Electronics,EL-Smartwatches,290
2023-01-23,Electronics,EL-Smartwatches,266
2023-01-30,Electronics,EL-Smartwatches,235
2023-02-06,Electronics,EL-Smartwatches,187
2023-02-13,Electronics,EL-Smartwatches,236
2023-02-20,Electronics,EL-Smartwatches,239
2023-02-27,Electronics,EL-Smartwatches,241
2023-03-06,Electronics,EL-Smartwatches,189
2023-03-13,Electronics,EL-Smartwatches,196
2023-03-20,Electronics,EL-Smartwatches,193
2023-03-27,Electronics,EL-Smartwatches,214
2023-04-03,Electronics,EL-Smartwatches,180
2023-04-10,Electronics,EL-Smartwatches,193
2023-04-17,Electronics,EL-Smartwatches,210
2023-04-24,Electronics,EL-Smartwatches,174
2023-05-01,Electronics,EL-Smartwatches,206
2023-05-08,Electronics,EL-Smartwatches,178
2023-05-15,Electronics,EL-Smartwatches,162
2023-05-22,Electronics,EL-Smartwatches,183
2023-05-29,Electronics,EL-Smartwatches,167
2023-06-05,Electronics,EL-Smartwatches,149
2023-06-12,Electronics,EL-Smartwatches,140
2023-06-19,Electronics,EL-Smartwatches,148
2023-06-26,Electronics,EL-Smartwatches,153
2023-07-03,Electronics,EL-Smartwatches,166
2023-07-10,Electronics,EL-Smartwatches,152
2023-07-17,Electronics,EL-Smartwatches,137
2023-07-24,Electronics,EL-Smartwatches,126
2023-07-31,Electronics,EL-Smartwatches,158
2023-08-07,Electronics,EL-Smartwatches,165
2023-08-14,Electronics,EL-Smartwatches,184
2023-08-21,Electronics,EL-Smartwatches,157
2023-08-28,Electronics,EL-Smartwatches,147
2023-09-04,Electronics,EL-Smartwatches,199
2023-09-11,Electronics,EL-Smartwatches,185
2023-09-18,Electronics,EL-Smartwatches,169
2023-09-25,Electronics,EL-Smartwatches,247
2023-10-02,Electronics,EL-Smartwatches,238
2023-10-09,Electronics,EL-Smartwatches,226
2023-10-16,Electronics,EL-Smartwatches,241
2023-10-23,Electronics,EL-Smartwatches,221
2023-10-30,Electronics,EL-Smartwatches,281
2023-11-06,Electronics,EL-Smartwatches,247
2023-11-13,Electronics,EL-Smartwatches,254
2023-11-20,Electronics,EL-Smartwatches,267
2023-11-27,Electronics,EL-Smartwatches,245
2023-12-04,Electronics,EL-Smartwatches,326
2023-12-11,Electronics,EL-Smartwatches,355
2023-12-18,Electronics,EL-Smartwatches,328
2023-12-25,Electronics,EL-Smartwatches,230
2024-01-01,Electronics,EL-Smartwatches,297
2024-01-08,Electronics,EL-Smartwatches,286
2024-01-15,Electronics,EL-Smartwatches,325
2024-01-22,Electronics,EL-Smartwatches,231
2024-01-29,Electronics,EL-Smartwatches,230
2024-02-05,Electronics,EL-Smartwatches,290
2024-02-12,Electronics,EL-Smartwatches,340
2024-02-19,Electronics,EL-Smartwatches,293
2024-02-26,Electronics,EL-Smartwatches,373
2024-03-04,Electronics,EL-Smartwatches,260
2024-03-11,Electronics,EL-Smartwatches,284
2024-03-18,Electronics,EL-Smartwatches,271
2024-03-25,Electronics,EL-Smartwatches,242
2024-04-01,Electronics,EL-Smartwatches,295
2024-04-08,Electronics,EL-Smartwatches,213
2024-04-15,Electronics,EL-Smartwatches,214
2024-04-22,Electronics,EL-Smartwatches,226
2024-04-29,Electronics,EL-Smartwatches,216
2024-05-06,Electronics,EL-Smartwatches,251
2024-05-13,Electronics,EL-Smartwatches,201
2024-05-20,Electronics,EL-Smartwatches,220
2024-05-27,Electronics,EL-Smartwatches,191
2024-06-03,Electronics,EL-Smartwatches,227
2024-06-10,Electronics,EL-Smartwatches,192
2024-06-17,Electronics,EL-Smartwatches,196
2024-06-24,Electronics,EL-Smartwatches,151
2024-07-01,Electronics,EL-Smartwatches,202
2024-07-08,Electronics,EL-Smartwatches,173
2024-07-15,Electronics,EL-Smartwatches,208
2024-07-22,Electronics,EL-Smartwatches,202
2024-07-29,Electronics,EL-Smartwatches,207
2024-08-05,Electronics,EL-Smartwatches,226
2024-08-12,Electronics,EL-Smartwatches,214
2024-08-19,Electronics,EL-Smartwatches,190
2024-08-26,Electronics,EL-Smartwatches,224
2024-09-02,Electronics,EL-Smartwatches,233
2024-09-09,Electronics,EL-Smartwatches,205
2024-09-16,Electronics,EL-Smartwatches,267
2024-09-23,Electronics,EL-Smartwatches,304
2024-09-30,Electronics,EL-Smartwatches,278
2024-10-07,Electronics,EL-Smartwatches,285
2024-10-14,Electronics,EL-Smartwatches,309
2024-10-21,Electronics,EL-Smartwatches,344
2024-10-28,Electronics,EL-Smartwatches,295
2024-11-04,Electronics,EL-Smartwatches,362
2024-11-11,Electronics,EL-Smartwatches,306
2024-11-18,Electronics,EL-Smartwatches,367
2024-11-25,Electronics,EL-Smartwatches,376
2024-12-02,Electronics,EL-Smartwatches,306
2024-12-09,Electronics,EL-Smartwatches,397
2024-12-16,Electronics,EL-Smartwatches,384
2024-12-23,Electronics,EL-Smartwatches,304
2024-12-30,Electronics,EL-Smartwatches,362
2025-01-06,Electronics,EL-Smartwatches,356
2025-01-13,Electronics,EL-Smartwatches,344
2025-01-20,Electronics,EL-Smartwatches,404
2025-01-27,Electronics,EL-Smartwatches,347
2025-02-03,Electronics,EL-Smartwatches,382
2025-02-10,Electronics,EL-Smartwatches,327
2025-02-17,Electronics,EL-Smartwatches,358
2025-02-24,Electronics,EL-Smartwatches,443
2025-03-03,Electronics,EL-Smartwatches,374
2025-03-10,Electronics,EL-Smartwatches,284
2025-03-17,Electronics,EL-Smartwatches,301
2025-03-24,Electronics,EL-Smartwatches,324
2025-03-31,Electronics,EL-Smartwatches,258
2025-04-07,Electronics,EL-Smartwatches,346
2025-04-14,Electronics,EL-Smartwatches,298
2025-04-21,Electronics,EL-Smartwatches,287
2025-04-28,Electronics,EL-Smartwatches,282
2025-05-05,Electronics,EL-Smartwatches,248
2025-05-12,Electronics,EL-Smartwatches,226
2025-05-19,Electronics,EL-Smartwatches,160
2025-05-26,Electronics,EL-Smartwatches,199
2025-06-02,Electronics,EL-Smartwatches,247
2025-06-09,Electronics,EL-Smartwatches,254
2025-06-16,Electronics,EL-Smartwatches,226
2025-06-23,Electronics,EL-Smartwatches,178
2025-06-30,Electronics,EL-Smartwatches,218
2025-07-07,Electronics,EL-Smartwatches,228
2025-07-14,Electronics,EL-Smartwatches,193
2025-07-21,Electronics,EL-Smartwatches,269
2025-07-28,Electronics,EL-Smartwatches,204
2025-08-04,Electronics,EL-Smartwatches,241
2025-08-11,Electronics,EL-Smartwatches,216
2025-08-18,Electronics,EL-Smartwatches,284
2025-08-25,Electronics,EL-Smartwatches,226
2025-09-01,Electronics,EL-Smartwatches,247
2025-09-08,Electronics,EL-Smartwatches,326
2025-09-15,Electronics,EL-Smartwatches,255
2025-09-22,Electronics,EL-Smartwatches,292
2025-09-29,Electronics,EL-Smartwatches,346
2025-10-06,Electronics,EL-Smartwatches,353
2025-10-13,Electronics,EL-Smartwatches,278
2025-10-20,Electronics,EL-Smartwatches,391
2025-10-27,Electronics,EL-Smartwatches,365
2025-11-03,Electronics,EL-Smartwatches,447
2025-11-10,Electronics,EL-Smartwatches,319
2025-11-17,Electronics,EL-Smartwatches,451
2025-11-24,Electronics,EL-Smartwatches,444
2025-12-01,Electronics,EL-Smartwatches,413
2025-12-08,Electronics,EL-Smartwatches,419
2025-12-15,Electronics,EL-Smartwatches,468
2025-12-22,Electronics,EL-Smartwatches,415
2023-01-02,Grocery,GR-Snacks,835
2023-01-09,Grocery,GR-Snacks,808
2023-01-16,Grocery,GR-Snacks,848
2023-01-23,Grocery,GR-Snacks,871
2023-01-30,Grocery,GR-Snacks,755
2023-02-06,Grocery,GR-Snacks,833
2023-02-13,Grocery,GR-Snacks,845
2023-02-20,Grocery,GR-Snacks,904
2023-02-27,Grocery,GR-Snacks,794
2023-03-06,Grocery,GR-Snacks,895
2023-03-13,Grocery,GR-Snacks,813
2023-03-20,Grocery,GR-Snacks,864
2023-03-27,Grocery,GR-Snacks,855
2023-04-03,Grocery,GR-Snacks,863
2023-04-10,Grocery,GR-Snacks,839
2023-04-17,Grocery,GR-Snacks,813
2023-04-24,Grocery,GR-Snacks,948
2023-05-01,Grocery,GR-Snacks,955
2023-05-08,Grocery,GR-Snacks,882
2023-05-15,Grocery,GR-Snacks,888
2023-05-22,Grocery,GR-Snacks,894
2023-05-29,Grocery,GR-Snacks,842
2023-06-05,Grocery,GR-Snacks,863
2023-06-12,Grocery,GR-Snacks,955
2023-06-19,Grocery,GR-Snacks,994
2023-06-26,Grocery,GR-Snacks,936
2023-07-03,Grocery,GR-Snacks,903
2023-07-10,Grocery,GR-Snacks,901
2023-07-17,Grocery,GR-Snacks,933
2023-07-24,Grocery,GR-Snacks,1013
2023-07-31,Grocery,GR-Snacks,980
2023-08-07,Grocery,GR-Snacks,896
2023-08-14,Grocery,GR-Snacks,914
2023-08-21,Grocery,GR-Snacks,1002
2023-08-28,Grocery,GR-Snacks,1000
2023-09-04,Grocery,GR-Snacks,1084
2023-09-11,Grocery,GR-Snacks,1063
2023-09-18,Grocery,GR-Snacks,986
2023-09-25,Grocery,GR-Snacks,932
2023-10-02,Grocery,GR-Snacks,978
2023-10-09,Grocery,GR-Snacks,895
2023-10-16,Grocery,GR-Snacks,914
2023-10-23,Grocery,GR-Snacks,1003
2023-10-30,Grocery,GR-Snacks,973
2023-11-06,Grocery,GR-Snacks,982
2023-11-13,Grocery,GR-Snacks,1008
2023-11-20,Grocery,GR-Snacks,891
2023-11-27,Grocery,GR-Snacks,948
2023-12-04,Grocery,GR-Snacks,901
2023-12-11,Grocery,GR-Snacks,905
2023-12-18,Grocery,GR-Snacks,893
2023-12-25,Grocery,GR-Snacks,901
2024-01-01,Grocery,GR-Snacks,795
2024-01-08,Grocery,GR-Snacks,791
2024-01-15,Grocery,GR-Snacks,860
2024-01-22,Grocery,GR-Snacks,876
2024-01-29,Grocery,GR-Snacks,824
2024-02-05,Grocery,GR-Snacks,840
2024-02-12,Grocery,GR-Snacks,774
2024-02-19,Grocery,GR-Snacks,892
2024-02-26,Grocery,GR-Snacks,868
2024-03-04,Grocery,GR-Snacks,922
2024-03-11,Grocery,GR-Snacks,829
2024-03-18,Grocery,GR-Snacks,849
2024-03-25,Grocery,GR-Snacks,862
2024-04-01,Grocery,GR-Snacks,935
2024-04-08,Grocery,GR-Snacks,900
2024-04-15,Grocery,GR-Snacks,899
2024-04-22,Grocery,GR-Snacks,799
2024-04-29,Grocery,GR-Snacks,849
2024-05-06,Grocery,GR-Snacks,824
2024-05-13,Grocery,GR-Snacks,902
2024-05-20,Grocery,GR-Snacks,968
2024-05-27,Grocery,GR-Snacks,933
2024-06-03,Grocery,GR-Snacks,888
2024-06-10,Grocery,GR-Snacks,1063
2024-06-17,Grocery,GR-Snacks,894
2024-06-24,Grocery,GR-Snacks,1044
2024-07-01,Grocery,GR-Snacks,1039
2024-07-08,Grocery,GR-Snacks,994
2024-07-15,Grocery,GR-Snacks,1064
2024-07-22,Grocery,GR-Snacks,925
2024-07-29,Grocery,GR-Snacks,961
2024-08-05,Grocery,GR-Snacks,979
2024-08-12,Grocery,GR-Snacks,1021
2024-08-19,Grocery,GR-Snacks,989
2024-08-26,Grocery,GR-Snacks,1101
2024-09-02,Grocery,GR-Snacks,975
2024-09-09,Grocery,GR-Snacks,982
2024-09-16,Grocery,GR-Snacks,920
2024-09-23,Grocery,GR-Snacks,1016
2024-09-30,Grocery,GR-Snacks,1029
2024-10-07,Grocery,GR-Snacks,933
2024-10-14,Grocery,GR-Snacks,897
2024-10-21,Grocery,GR-Snacks,883
2024-10-28,Grocery,GR-Snacks,1021
2024-11-04,Grocery,GR-Snacks,991
2024-11-11,Grocery,GR-Snacks,953
2024-11-18,Grocery,GR-Snacks,971
2024-11-25,Grocery,GR-Snacks,947
2024-12-02,Grocery,GR-Snacks,937
2024-12-09,Grocery,GR-Snacks,816
2024-12-16,Grocery,GR-Snacks,923
2024-12-23,Grocery,GR-Snacks,926
2024-12-30,Grocery,GR-Snacks,941
2025-01-06,Grocery,GR-Snacks,926
2025-01-13,Grocery,GR-Snacks,835
2025-01-20,Grocery,GR-Snacks,879
2025-01-27,Grocery,GR-Snacks,790
2025-02-03,Grocery,GR-Snacks,934
2025-02-10,Grocery,GR-Snacks,789
2025-02-17,Grocery,GR-Snacks,894
2025-02-24,Grocery,GR-Snacks,819
2025-03-03,Grocery,GR-Snacks,819
2025-03-10,Grocery,GR-Snacks,818
2025-03-17,Grocery,GR-Snacks,851
2025-03-24,Grocery,GR-Snacks,893
2025-03-31,Grocery,GR-Snacks,937
2025-04-07,Grocery,GR-Snacks,870
2025-04-14,Grocery,GR-Snacks,938
2025-04-21,Grocery,GR-Snacks,948
2025-04-28,Grocery,GR-Snacks,1021
2025-05-05,Grocery,GR-Snacks,886
2025-05-12,Grocery,GR-Snacks,945
2025-05-19,Grocery,GR-Snacks,975
2025-05-26,Grocery,GR-Snacks,954
2025-06-02,Grocery,GR-Snacks,991
2025-06-09,Grocery,GR-Snacks,926
2025-06-16,Grocery,GR-Snacks,952
2025-06-23,Grocery,GR-Snacks,944
2025-06-30,Grocery,GR-Snacks,951
2025-07-07,Grocery,GR-Snacks,943
2025-07-14,Grocery,GR-Snacks,995
2025-07-21,Grocery,GR-Snacks,933
2025-07-28,Grocery,GR-Snacks,976
2025-08-04,Grocery,GR-Snacks,1048
2025-08-11,Grocery,GR-Snacks,920
2025-08-18,Grocery,GR-Snacks,952
2025-08-25,Grocery,GR-Snacks,991
2025-09-01,Grocery,GR-Snacks,950
2025-09-08,Grocery,GR-Snacks,952
2025-09-15,Grocery,GR-Snacks,1121
2025-09-22,Grocery,GR-Snacks,1024
2025-09-29,Grocery,GR-Snacks,972
2025-10-06,Grocery,GR-Snacks,949
2025-10-13,Grocery,GR-Snacks,894
2025-10-20,Grocery,GR-Snacks,911
2025-10-27,Grocery,GR-Snacks,837
2025-11-03,Grocery,GR-Snacks,994
2025-11-10,Grocery,GR-Snacks,924
2025-11-17,Grocery,GR-Snacks,996
2025-11-24,Grocery,GR-Snacks,935
